Tue Aug 25 17:11:01 2026 | 高活性分子: 55 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 17:11:39 2026 | 高活性分子: 55 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 17:12:11 2026 | 高活性分子: 56 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 17:12:30 2026 | 高活性分子: 56 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 17:12:45 2026 | 高活性分子: 56 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 17:13:03 2026 | 高活性分子: 56 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 17:13:51 2026 | 高活性分子: 56 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 17:14:17 2026 | 高活性分子: 56 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 17:14:33 2026 | 高活性分子: 57 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 17:14:56 2026 | 高活性分子: 57 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 17:15:27 2026 | 高活性分子: 57 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 17:15:47 2026 | 高活性分子: 57 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 17:16:11 2026 | 高活性分子: 57 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 17:16:33 2026 | 高活性分子: 57 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 17:16:54 2026 | 高活性分子: 57 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 17:17:23 2026 | 高活性分子: 57 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 17:17:45 2026 | 高活性分子: 57 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 17:18:09 2026 | 高活性分子: 57 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
