chembl_id,smiles,activity_type,activity_value,activity_units,pIC50,docking
CHEMBL3703687,CC1(C)C(=O)Nc2nc(-n3nc(Cc4ccccc4F)c4ncc(F)cc43)nnc21,IC50,85.0,nM,7.07,-9.0
CHEMBL3703689,CC1(C)C(=O)Nc2nc(-c3nn(Cc4ccccc4F)c4c3CCC4)ncc21,IC50,4000.0,nM,5.4,-10.9
CHEMBL3703690,CC1(C)C(=O)Nc2nc(-c3nn(Cc4ccccc4F)c4c3CCC4)nnc21,IC50,3500.0,nM,5.46,-10.9
CHEMBL3703691,Cc1ncc2c(-c3ncc4c(n3)NC(=O)C4(C)C)nn(Cc3ccccc3F)c2n1,IC50,310.0,nM,6.51,-10.5
CHEMBL3703692,Cc1ncc2c(-c3nnc4c(n3)NC(=O)C4(C)C)nn(Cc3ccccc3F)c2n1,IC50,64.0,nM,7.19,-10.2
CHEMBL3703693,Cc1ncc2c(-c3ncc4c(n3)NC(=O)C4(C)C)nn(Cc3cccc(F)c3F)c2n1,IC50,230.0,nM,6.64,-10.6
CHEMBL3703694,Cc1ncc2c(-c3nnc4c(n3)NC(=O)C4(C)C)nn(Cc3cccc(F)c3F)c2n1,IC50,16.0,nM,7.8,-10.7
CHEMBL3703695,CC1(C)C(=O)Nc2nc(-c3nn(Cc4ccccc4F)c4ncncc34)nnc21,IC50,370.0,nM,6.43,-10.4
CHEMBL3703696,CC1(C)C(=O)Nc2nc(-n3nc(Cc4ccccc4F)c4cc(F)ccc43)nnc21,IC50,75.0,nM,7.12,-8.5
CHEMBL3703697,CC1(C)C(=O)Nc2nc(-n3nc(CCC(F)(F)C(F)(F)F)c4cc(F)ccc43)nnc21,IC50,530.0,nM,6.28,-10.8
CHEMBL3703698,CCc1nc(-n2nc(Cc3ccccc3F)c3cc(F)ccc32)nc2c1C(C)(C)C(=O)N2,IC50,440.0,nM,6.36,-8.9
CHEMBL3703699,CC1(C)C(=O)Nc2nc(-c3nn(Cc4ccccc4F)c4cc(Cl)ccc34)nnc21,IC50,25.0,nM,7.6,-10.3
CHEMBL3703700,CC1(C)C(=O)Nc2nc(-c3nn(Cc4ncccc4F)c4cc(Cl)ccc34)nnc21,IC50,160.0,nM,6.8,-10.2
CHEMBL3703701,CC1(C)C(=O)Nc2nc(-c3nn(CCC(F)(F)C(F)(F)F)c4cc(Cl)ccc34)nnc21,IC50,95.0,nM,7.02,-9.9
CHEMBL3703702,Cc1nc(-n2nc(Cc3ccccc3F)c3cc(F)ccc32)nc2c1C(C)(C)C(=O)N2,IC50,340.0,nM,6.47,-9.0
CHEMBL3703703,CCCc1nc(-n2nc(Cc3ccccc3F)c3ccccc32)nc2c1C(C)(C)C(=O)N2,IC50,450.0,nM,6.35,-8.6
CHEMBL3920831,COc1ccc(CNc2nc(N3CC4CC4C3)ncc2C(=O)NCc2ncccn2)cc1Cl,IC50,6.04,nM,8.22,-9.0
CHEMBL3950484,COc1ccc(CNc2nc(N3CC4CC4C3)ncc2C(=O)NCc2ccccn2)cc1Cl,IC50,2.12,nM,8.67,-9.4
CHEMBL3964896,COc1ccc(CNc2nc(N3CC4CC4C3)ncc2C(=O)NCc2ccccc2)cc1Cl,IC50,0.91,nM,9.04,-9.0
CHEMBL3971214,COc1ccc(CNc2nc(N3CC4CC4C3)ncc2C(=O)NCc2cnc(C)cn2)cc1Cl,IC50,4.63,nM,8.33,-9.0
CHEMBL3941629,COc1ccc(CNc2nc(N3CC4CC4C3)ncc2C(=O)NCc2ccc(F)cc2)cc1Cl,IC50,17.4,nM,7.76,-9.1
CHEMBL3896525,COc1ccc(CNc2nc(N3CC4CC4C3)ncc2C(=O)NCCN2CCOCC2)cc1Cl,IC50,4.25,nM,8.37,-8.6
CHEMBL3930444,COc1ccc(CNc2nc(N3CC4CC4C3)ncc2C(=O)N[C@H]2CCCCNC2=O)cc1Cl,IC50,13.2,nM,7.88,-9.2
CHEMBL3954550,COc1ccc(CNc2nc(N3CC4CC4C3)ncc2C(=O)NC2CCCCCC2)cc1Cl,IC50,23.2,nM,7.63,-9.0
CHEMBL3917964,COc1ccc(CNc2nc(N3CC4CC4C3)ncc2C(=O)N[C@H]2CC[C@H](O)CC2)cc1Cl,IC50,0.41,nM,9.39,-9.6
CHEMBL3909034,COc1ccc(CNc2nc(N3CCC4(CC3)CC4)ncc2C(=O)NCc2ncccn2)cc1Cl,IC50,26.76,nM,7.57,-9.4
CHEMBL3903498,COc1ccc(CNc2nc(N3CCC4(CC4)C3)ncc2C(=O)NCc2ccccc2)cc1Cl,IC50,17.31,nM,7.76,-9.5
CHEMBL3931479,COc1ncc(CNc2nc(N3CC4CC4C3)ncc2C(=O)NCc2ncccn2)cc1Cl,IC50,47.01,nM,7.33,-8.8
CHEMBL3938226,COc1ccc(CNc2nc(N3CC4CC4C3CO)ncc2C(=O)NCc2ncccn2)cc1Cl,IC50,10.39,nM,7.98,-8.9
CHEMBL3978505,COc1ccc(CNc2nc(N3CC4CC4C3CO)ncc2C(=O)NCc2ccccc2)cc1Cl,IC50,4.63,nM,8.33,-9.1
CHEMBL3892367,COc1ccc(CNc2nc(N3CC4CC4C3CO)ncc2C(=O)NCc2ccccn2)cc1Cl,IC50,33.33,nM,7.48,-8.8
CHEMBL3940648,COc1ccc(CNc2nc(N3CCC4(CC4)C3)ncc2C(=O)NCc2ccccn2)cc1Cl,IC50,11.88,nM,7.92,-9.0
CHEMBL3978000,COc1ccc(CNc2nc(N3CCC4(CC4)C3)ncc2C(=O)NCc2ncccn2)cc1Cl,IC50,22.91,nM,7.64,-9.1
CHEMBL3934370,COc1ccc(CNc2nc(N3CCC4(CC4)C3)ncc2C(=O)N[C@H]2CC[C@@H](O)CC2)cc1Cl,IC50,15.4,nM,7.81,-9.6
CHEMBL1963681,COc1ccc(CNc2nc(N3CCC[C@H]3CO)ncc2C(=O)NCc2ncccn2)cc1Cl,Ki,5.0,nM,8.3,-9.0
CHEMBL3935122,COc1ccc(CNc2nc(N3CCC4(CC4)C3)ncc2C(=O)N[C@H]2CC[C@H](O)CC2)cc1Cl,IC50,0.8,nM,9.1,-10.2
CHEMBL3893749,COc1ccc(CNc2nc(N3CC4CC4C3)ncc2C(=O)N[C@H]2CC[C@H](O)CC2)cc1F,IC50,7.99,nM,8.1,-9.5
