chembl_id,smiles,activity_type,activity_value,activity_units,pIC50,docking
CHEMBL4241638,CCN(c1ccc(OC)cc1)c1ncnc2occ(C)c12,IC50,92.5,nM,7.03,-7.933
CHEMBL4245874,COc1ccc(Nc2ncnc3occ(C)c23)cc1,IC50,283.1,nM,6.55,-7.599
CHEMBL4250191,COc1ccc(N(C)c2ncnc3occ(C)c23)cc1,IC50,15.5,nM,7.81,-7.382
CHEMBL4290375,Cc1oc2ncnc(Nc3cccc(Cl)c3)c2c1C(=O)O,IC50,901.0,nM,6.04,-7.745
CHEMBL4285894,Cc1oc2ncnc(Nc3cccc(Br)c3)c2c1C(=O)O,IC50,752.0,nM,6.12,-7.741
CHEMBL4292715,Cc1oc2ncnc(Nc3cccc(Cl)c3)c2c1C(=O)NCCO,IC50,2700.0,nM,5.57,-8.032
CHEMBL4279863,O=C(N/N=C/c1cccn1CCCN1CCCC1)Nc1ccc(Oc2ccnc3[nH]ccc23)cc1,IC50,45000.0,nM,4.35,-9.618
CHEMBL4293145,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1O[C@H]1CCOC1,IC50,0.7,nM,9.15,-10.149
CHEMBL4282954,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N1CCOCC1,IC50,0.6,nM,9.22,-10.304
CHEMBL4278815,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cnn4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,IC50,1.3,nM,8.89,-8.865
CHEMBL4279227,C=C=CC(=O)Nc1cc(Nc2nccc(-c3c[nH]c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,IC50,0.5,nM,9.3,-9.203
CHEMBL4282523,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)ccc1N(C)CCN(C)C,IC50,1.5,nM,8.82,-9.611
